"salePointName","address","salePointCode","status","openHours__days","openHours__hours","rko","network","openHoursIndividual__days","openHoursIndividual__hours","officeType","salePointFormat","suoAvailability","hasRamp","latitude","longitude","metroStation","distance","kep","myBranch"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Дом правительства Московской области» Филиала № 7701 Банка ВТБ (ПАО)","143407, Московская область, г. Красногорск, бульвар Строителей, д. 1","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","09:00-18:00","закрытый доступ, находится в здании Дома Правительства МО","Розничный (РБ)","N","N","55.816086","37.380814","null","16490","False","False"
"","","","","","","","","вт","09:00-18:00","","","","","","","","","",""
"","","","","","","","","ср","09:00-18:00","","","","","","","","","",""
"","","","","","","","","чт","09:00-18:00","","","","","","","","","",""
"","","","","","","","","пт","09:00-18:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Бульвар Рокоссовского» Филиала № 7701 Банка ВТБ (ПАО)","107150, г. Москва, ул. Ивантеевская, д. 23","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Розничный (РБ)","Y","N","55.815701","37.731846","Москва, Сокольническая линия, метро Бульвар Рокоссовского","9771","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Щука» Филиала № 7701 Банка ВТБ (ПАО)","123182, г. Москва, ул. Щукинская, д. 42","","открытая","Не обслуживает ЮЛ","null","null","","пн","10:00-21:00","Да","Розничный (РБ)","Y","N","55.809475","37.464573","Москва, Таганско-Краснопресненская линия, метро Щукинская","11527","False","False"
"","","","","","","","","вт","10:00-21:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-21:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-21:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-21:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Алексеевский» Филиала № 7701 Банка ВТБ (ПАО)","129085, г. Москва, пр-т Мира, д. 97","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.809105","37.636337","Москва, Калужско-Рижская линия, метро Алексеевская","6198","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Измайлово-Гольяново» Филиала № 7701 Банка ВТБ (ПАО)","105215, г. Москва, ул. 9-я Парковая, д. 59, корп. 1","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","Нет","Розничный (РБ)","Y","N","55.807804","37.798141","Москва, Арбатско-Покровская линия, метро Щёлковская","12617","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Строгинский» Филиала № 7701 Банка ВТБ (ПАО)","123592, г. Москва, Маршала Катукова ул., д. 16","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","55.807396","37.406281","Москва, Арбатско-Покровская линия, метро Строгино","14643","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Сокол» Филиала № 7701 Банка ВТБ (ПАО)","125057, г. Москва, Ленинградский пр-т, д. 77, кор. 2","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.805214","37.508186","null","9031","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «На Советской» в г. Балашихе Флиала № 7701 Банка ВТБ (ПАО)","143902, Московская область, г. Балашиха, ул. Советская, д. 19а","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.803135","37.934631","null","20393","False","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Ленинградский» Филиала № 7701 Банка ВТБ (ПАО)","125057, г. Москва, Ленинградский пр-т, д. 65, стр. 1","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.802914","37.51889","Москва, Замоскворецкая линия, метро Сокол","8353","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Крестовский» Филиала в г. Москве","129085, г. Москва, пр-т Мира, д. 81","","открытая","пн","09:00-18:00","есть РКО","","Не обслуживает ФЛ","null","Да","Корпоративный","N","N","55.801319","37.634335","null","5323","True","False"
"","","","","вт","09:00-18:00","","","","","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","","","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","","","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","","","","","","","","","","","",""
"","","","","сб","выходной","","","","","","","","","","","","","",""
"","","","","вс","выходной","","","","","","","","","","","","","",""
"ДО «Ленинградский проспект» Филиала № 7701 Банка ВТБ (ПАО)","125167, г. Москва, Ленинградский пр-т, д. 60, корп. 2","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Розничный (РБ)","Y","Y","55.799339","37.536186","Москва, Замоскворецкая линия, метро Аэропорт","7284","False","False"
"","","","","","","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Балашихинский» Филиала № 7701 Банка ВТБ (ПАО)","143900, Московская область, г. Балашиха, пр-т Ленина, д. 45","","открытая","пн-пт","09:00-18:00","нет РКО","","пн-пт","09:00-18:00","Да","Стандарт","Y","Y","55.797817","37.946049","null","20938","null","False"
"","","","","пт","09:00-16:45","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","сб,вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Черкизовский» Филиала № 7701 Банка ВТБ (ПАО)","107061, г. Москва, ул. Б. Черкизовская, д. 5А","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да","Универсальный","Y","Y","55.797306","37.718723","Москва, Сокольническая линия, метро Преображенская площадь","7804","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Преображенский» Филиала № 7701 Банка ВТБ (ПАО)","107061, г. Москва, ул. Большая Черкизовская, д. 12, корп. 1","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","N","55.797077","37.725388","null","8121","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Измайловский бульвар» Филиала № 7701 Банка ВТБ (ПАО)","105077, г. Москва, Измайловский б-р, д. 46","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.796345","37.80584","null","12513","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","10:00-17:00","","","","","","","","","",""
"ДО «Савеловский» Филиала № 7701 Банка ВТБ (ПАО)","127015, г. Москва, ул. Бутырская, д. 11","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.796009","37.583389","МЦД-1 Белорусско-Савёловский диаметр, станция Савёловская","5204","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-15:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «На Пионерской» Филиала № 7701 Банка ВТБ (ПАО)","143900, Московская область, г. Балашиха, ул. Пионерская, д. 13","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.794807","37.967934","null","22201","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Шереметьевский» Филиала № 7701 Банка ВТБ (ПАО)","127521, г. Москва, ул. Шереметьевская, д. 1,  корп. 1","","открытая","Не обслуживает ЮЛ","null","null","","пн-пт","10:00-19:00","Да","Стандарт","Y","Y","55.793915","37.615479","null","4439","null","False"
"","","","","","","","","сб,вс","выходной","","","","","","","","","",""
"ДО «Ходынский» Филиала № 7701 Банка ВТБ (ПАО)","125252, г. Москва, ул. Авиаконструктора Микояна, д. 12","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","Да (Офис Привилегия)","Привилегия (РБ)","N","Y","55.792362","37.527615","null","7197","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «На Маршала Бирюзова» Филиала № 7701 Банка ВТБ (ПАО)","123298, г. Москва, ул. Маршала Бирюзова, д. 8, корп. 1","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","55.792191","37.496796","Москва, Таганско-Краснопресненская линия, метро Октябрьское Поле","8816","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Арена Плаза» Филиала № 7701 Банка ВТБ (ПАО)","125167, г. Москва, Ленинградский проспект, д. 36","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Розничный (РБ)","Y","N","55.791248","37.559387","Москва, Большая кольцевая линия, метро Петровский парк","5624","False","False"
"","","","","","","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «На Рижской» Филиала № 7701 Банка ВТБ (ПАО)","129110, г. Москва, пр-т Мира, д. 76, стр. 1","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.79071","37.635178","Москва, Калужско-Рижская линия, метро Рижская","4175","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Русаковский» Филиала № 7701 Банка ВТБ (ПАО)","107113, г. Москва, Сокольническая пл., д.4, корп.1-2","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.789921","37.677895","Москва, Сокольническая линия, метро Сокольники","5367","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Ходынский бульвар» Филиала № 7701 Банка ВТБ (ПАО)","125252, г. Москва, Ходынский бульвар, д. 2","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","Да","Розничный (РБ)","Y","N","55.789394","37.536831","Москва, Большая кольцевая линия, метро ЦСКА","6537","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Бутырский» Филиала № 7701 Банка ВТБ (ПАО)","127055, г. Москва, ул. Бутырский вал, д. 68/70, стр. 1","","открытая","пн-чт","09:00-18:00","есть РКО","","пн-пт","09:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.788677","37.589157","Савёловская (Серпуховско-Тимирязевская линия)","4314","null","False"
"","","","","пт","09:00-17:00","","","сб,вс","выходной","","","","","","","","","",""
"","","","","сб,вс","выходной","","","","","","","","","","","","","",""
"ДО «Хорошевский» Филиала № 7701 Банка ВТБ (ПАО)","123585, г. Москва, ул. Генерала Глаголева, д. 30, корп. 2","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","N","55.788631","37.466789","null","10347","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Сокольнический» Филиала № 7701 Банка ВТБ (ПАО)","107014, г. Москва, ул. Русаковская, д. 24","","открытая","пн-чт","09:00-18:00","нет РКО","","пн-пт","09:00-20:00","Да (Зона Привилегия)","Стандарт+бизнес отдел","Y","Y","55.787449","37.681145","null","5309","null","False"
"","","","","пт","09:00-17:00","","","сб","выходной","","","","","","","","","",""
"","","","","перерыв","14:15-15:00","","","вс","выходной","","","","","","","","","",""
"","","","","сб,вс","выходной","","","","","","","","","","","","","",""
"ДО «Тихвинский» Филиала № 7701 Банка ВТБ (ПАО)","103055, г. Москва, ул. Тихвинская, д. 9. стр. 1","","открытая","пн-чт","09:00-18:00","нет РКО","","пн-пт","09:00-20:00","Да (Зона Привилегия)","Стандарт+бизнес отдел","Y","N","55.787273","37.600353","null","3897","null","False"
"","","","","пт","09:00-17:00","","","сб,вс","выходной","","","","","","","","","",""
"","","","","сб,вс","выходной","","","","","","","","","","","","","",""
"ДО «Петровский» Филиала № 7701 Банка ВТБ (ПАО)","125040, г. Москва, Ленинградский пр-т, д. 34","","открытая","пн-чт","09:00-18:00","нет РКО","","пн-пт","09:00-20:00","Да","Мини_расш","Y","Y","55.785767","37.568821","null","4777","null","False"
"","","","","пт","09:00-17:00","","","сб","11:00-16:00","","","","","","","","","",""
"","","","","пн-пт","14:15-15:00","","","вс","выходной","","","","","","","","","",""
"","","","","сб,вс","выходной","","","","","","","","","","","","","",""
"ДО «Семеновский» Филиала № 7701 Банка ВТБ (ПАО)","105318, г. Москва, Семеновская пл., д. 7, корп. 17","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.783611","37.721302","Москва, Арбатско-Покровская линия, метро Семёновская","7114","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО ЦИК «Новослободский» Филиала № 7701 Банка ВТБ (ПАО)","127055, г. Москва, ул. Новослободская, д. 41","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.783394","37.596867","Москва, Серпуховско-Тимирязевская линия, метро Менделеевская","3575","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Проспект Мира» Филиала № 7701 Банка ВТБ (ПАО)","129110, г. Москва, пр-т Мира, д.41, стр.2","","открытая","пн","09:00-18:00","нет РКО","","пн","09:00-18:00","Да (Зона Привилегия)","Универсальный","Y","N","55.781616","37.632637","Москва, Калужско-Рижская линия, метро Проспект Мира","3155","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-18:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-18:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-18:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-18:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Белорусский» Филиала № 7701 Банка ВТБ (ПАО)","125047, г. Москва, 4-й Лесной пер., д. 4","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","N","55.779068","37.586929","Москва, Кольцевая линия, метро Белорусская","3478","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Долгоруковский» Филиала № 7701 Банка ВТБ (ПАО)","127030, г. Москва, ул. Долгоруковская, д. 40","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.778736","37.602024","Москва, Кольцевая линия, метро Новослободская","2972","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Полежаевский» Филиала № 7701 Банка ВТБ (ПАО)","123308, г. Москва, ул. Куусинена, д. 1","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн-пт","09:00-20:00","Да","Мини_расш","Y","N","55.778385","37.516449","null","7042","null","False"
"","","","","","","","","сб","11:00-16:00","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Проспект Маршала Жукова» Филиала № 7701 Банка ВТБ (ПАО)","123154, г. Москва, просп. Маршала Жукова, д. 48, корп. 1","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","N","55.777794","37.465748","null","10027","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Краснопрудный» Филиала № 7701 Банка ВТБ (ПАО)","107140, г. Москва, ул. Краснопрудная, д. 18, стр. 1","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Розничный (РБ)","Y","N","55.777287","37.662884","Москва, Сокольническая линия, метро Красносельская","3703","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Каланчевский» Филиала № 7701 Банка ВТБ (ПАО)","107078, г. Москва, ул. Каланчевская, д. 35","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Розничный (РБ)","Y","Y","55.776806","37.647926","МЦД-2 Курско-Рижский диаметр, станция Площадь трёх вокзалов (Каланчёвская)","3056","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Центр автокредитования» Филиала № 7701 Банка ВТБ (ПАО)","123317, г. Москва, Пресненская наб., д. 10, стр. 1","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","09:00-18:00","Нет","Розничный (РБ)","N","N","55.776749","37.602264","Москва, Кольцевая линия, метро Новослободская","2763","False","False"
"","","","","","","","","вт","09:00-18:00","","","","","","","","","",""
"","","","","","","","","ср","09:00-18:00","","","","","","","","","",""
"","","","","","","","","чт","09:00-18:00","","","","","","","","","",""
"","","","","","","","","пт","09:00-18:00","","","","","","","","","",""
"","","","","","","","","сб","выходной","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Ярославский» Филиала № 7701 Банка ВТБ (ПАО)","107144, г. Москва, Комсомольская пл. , д. 5, стр. 1","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн-пт","10:00-19:00","Да","Розничный (РБ)","Y","N","55.776295","37.656704","Комсомольская (Сокольническая линия), Комсомольская (Кольцевая линия)","3354","null","False"
"","","","","","","","","сб,вс","выходной","","","","","","","","","",""
